"is_challenger","match_id","game_length","placement","level","last_round","gold_left","n_legend","avg_unit_level","board_cost","match_avg_unit_level","match_avg_board_cost"
"Master/Grandmaster","NA1_4801204118",2078,"2","8",37,1,"1",1.625,44,1.91071428571429,40.75
"Master/Grandmaster","NA1_4801204118",2078,"8","7",28,32,"0",2,36,1.91071428571429,40.75
"Master/Grandmaster","NA1_4801206373",2115,"8","7",21,1,"1",1.28571428571429,31,1.89002976190476,41.5
"Challenger","NA1_4801206373",2115,"2","9",38,3,"0",1.9,57,1.89002976190476,41.5
"Master/Grandmaster","NA1_4801206373",2115,"5","7",34,0,"1",2,36,1.89002976190476,41.5
"Master/Grandmaster","NA1_4801207522",2103,"3","8",35,1,"1",1.7,65,1.6625,56
"Master/Grandmaster","NA1_4801207522",2103,"8","7",26,34,"1",1.625,47,1.6625,56
"Master/Grandmaster","NA1_4801211113",2286,"7","6",27,1,"1",2,30,1.875,34.5
"Master/Grandmaster","NA1_4801211113",2286,"5","8",34,0,"0",1.75,39,1.875,34.5
"Master/Grandmaster","NA1_4801211484",2284,"2","9",40,0,"1",2.11111111111111,48,2.24305555555556,46
"Master/Grandmaster","NA1_4801211484",2284,"3","8",38,0,"0",2.375,44,2.24305555555556,46
"Challenger","NA1_4801218741",2057,"4","8",31,5,"0",2.375,40,2.13169642857143,43
"Master/Grandmaster","NA1_4801218741",2057,"3","7",33,2,"1",2.42857142857143,41,2.13169642857143,43
"Master/Grandmaster","NA1_4801218741",2057,"1","9",37,40,"0",2.22222222222222,63,2.13169642857143,43
"Challenger","NA1_4801221187",2271,"1","9",40,3,"1",1.7,54,1.91547619047619,42.5
"Challenger","NA1_4801221187",2271,"2","9",40,0,"0",1.8,64,1.91547619047619,42.5
"Challenger","NA1_4801221187",2271,"6","7",31,21,"1",2,35,1.91547619047619,42.5
"Master/Grandmaster","NA1_4801221792",2267,"8","7",20,1,"1",1.71428571428571,32,2.03973214285714,44.25
"Master/Grandmaster","NA1_4801221792",2267,"5","8",30,0,"0",1.625,46,2.03973214285714,44.25
"Master/Grandmaster","NA1_4801221792",2267,"4","8",31,1,"0",1.875,41,2.03973214285714,44.25
"Challenger","NA1_4801224333",2251,"1","9",40,2,"0",1.88888888888889,52,1.75051857864358,42.375
"Challenger","NA1_4801224333",2251,"5","8",30,0,"0",1.75,36,1.75051857864358,42.375
"Master/Grandmaster","NA1_4801224333",2251,"7","7",28,21,"1",1.57142857142857,37,1.75051857864358,42.375
"Master/Grandmaster","NA1_4801226980",1970,"1","9",35,3,"1",1.8,52,1.75625,46.875
"Master/Grandmaster","NA1_4801226980",1970,"7","8",27,0,"0",1.75,40,1.75625,46.875
"Master/Grandmaster","NA1_4801226980",1970,"4","8",33,2,"1",1.75,54,1.75625,46.875
"Master/Grandmaster","NA1_4801227951",1947,"7","7",30,0,"1",2,35,1.98511904761905,44.375
"Master/Grandmaster","NA1_4801227951",1947,"1","8",35,17,"0",1.875,54,1.98511904761905,44.375
"Challenger","NA1_4801227951",1947,"4","8",33,4,"1",1.66666666666667,47,1.98511904761905,44.375
"Master/Grandmaster","NA1_4801231267",2118,"3","8",33,1,"0",2,43,2.07142857142857,38
"Master/Grandmaster","NA1_4801231267",2118,"6","7",31,19,"0",2.14285714285714,33,2.07142857142857,38
"Master/Grandmaster","NA1_4801231744",2091,"7","7",28,0,"0",1.875,46,1.90550595238095,43.25
"Challenger","NA1_4801231744",2091,"4","9",33,0,"0",1.88888888888889,52,1.90550595238095,43.25
"Challenger","NA1_4801231744",2091,"2","7",37,1,"0",2.42857142857143,42,1.90550595238095,43.25
"Master/Grandmaster","NA1_4801232536",2088,"3","7",34,1,"1",2.22222222222222,44,1.78190476190476,42.6
"Master/Grandmaster","NA1_4801232536",2088,"8","8",27,9,"0",1.44444444444444,37,1.78190476190476,42.6
"Master/Grandmaster","NA1_4801232536",2088,"7","6",28,70,"1",2.14285714285714,36,1.78190476190476,42.6
"Challenger","NA1_4801235635",2294,"3","8",35,1,"0",2,46,1.8796130952381,41.875
"Master/Grandmaster","NA1_4801235635",2294,"5","8",30,2,"1",1.625,39,1.8796130952381,41.875
"Master/Grandmaster","NA1_4801235635",2294,"4","8",33,15,"0",2,41,1.8796130952381,41.875
"Challenger","NA1_4801241545",2095,"7","8",27,1,"0",1.5,38,2.02628968253968,44.5
"Master/Grandmaster","NA1_4801241545",2095,"3","8",34,0,"0",2.22222222222222,62,2.02628968253968,44.5
"Challenger","NA1_4801241545",2095,"5","7",33,6,"1",2.25,45,2.02628968253968,44.5
"Challenger","NA1_4801243868",2087,"8","7",24,1,"0",1.85714285714286,34,2.02901785714286,42.5
"Master/Grandmaster","NA1_4801243868",2087,"7","6",28,0,"0",2.28571428571429,41,2.02901785714286,42.5
"Challenger","NA1_4801243868",2087,"2","7",37,1,"1",2.42857142857143,42,2.02901785714286,42.5
"Master/Grandmaster","NA1_4801244975",1913,"4","8",28,1,"0",1.63636363636364,53,1.69537337662338,42.5
"Master/Grandmaster","NA1_4801244975",1913,"6","7",27,1,"0",1.85714285714286,28,1.69537337662338,42.5
"Challenger","NA1_4801244975",1913,"7","6",26,0,"1",2,38,1.69537337662338,42.5
"Master/Grandmaster","NA1_4801250831",2072,"5","7",30,7,"1",2.14285714285714,33,1.92251984126984,43.75
"Master/Grandmaster","NA1_4801250831",2072,"6","8",28,9,"1",1.75,54,1.92251984126984,43.75
"Master/Grandmaster","NA1_4801250831",2072,"7","8",27,3,"0",1.44444444444444,41,1.92251984126984,43.75
"Master/Grandmaster","NA1_4801252680",2139,"7","7",28,23,"1",1.57142857142857,43,1.57142857142857,43
"Master/Grandmaster","NA1_4801259855",2475,"3","9",35,1,"0",1.55555555555556,46,1.95096371882086,41.5714285714286
"Master/Grandmaster","NA1_4801259855",2475,"4","8",33,7,"1",1.625,45,1.95096371882086,41.5714285714286
"Master/Grandmaster","NA1_4801259855",2475,"2","8",41,3,"0",2.125,47,1.95096371882086,41.5714285714286
"Challenger","NA1_4801262769",2309,"1","9",40,1,"0",2,56,1.83450577200577,45.875
"Challenger","NA1_4801262769",2309,"7","8",31,0,"0",1.75,38,1.83450577200577,45.875
"Master/Grandmaster","NA1_4801262769",2309,"2","7",40,5,"1",2.42857142857143,41,1.83450577200577,45.875
"Challenger","NA1_4801263655",2162,"5","7",31,39,"1",2,38,1.91071428571429,43.125
"Challenger","NA1_4801263655",2162,"4","7",33,1,"1",2.14285714285714,36,1.91071428571429,43.125
"Challenger","NA1_4801263655",2162,"6","8",31,0,"0",2,38,1.91071428571429,43.125
